시도,시설 수,일별 시설용량(톤),1일평균가동시간,처리량 (톤),연간유지관리비,관리인원,외부공급(열),외부공급(전력),자체사용(열),자체사용(전력),연도,설치비
서울특별시,5,2898,21,718284,39870,228,1363015,8245,280493,17202,2010,415823
부산광역시,3,840,24,252262,11286,106,285412,0,222577,24710,2010,111018
대구광역시,1,480,24,126811,8514,46,167144,1535,74513,39289,2010,72018
인천광역시,9,957,12,264024,18283,185,156997,0,334214,0,2010,220161
광주광역시,1,400,19,85679,6870,49,40978,0,21993,97228,2010,74300
대전광역시,1,400,24,102587,8154,38,87203,0,77172,0,2010,70613
울산광역시,1,400,24,108058,8000,49,86520,0,49502,92873,2010,61552
세종특별자치시,0,0,0,0,0,0,0,0,0,0,2010,0
경기도,23,5215,22,1096629,98902,769,1247509,40867,830727,252032,2010,1247841
강원도,13,264,19,51655,9918,142,186,0,7773,197,2010,62872
충청북도,10,471,18,109358,12013,134,89907,4948,82552,5199,2010,163883
충청남도,12,566,22,158028,22654,199,104213,0,81672,0,2010,141947
전라북도,2,600,24,150255,6056,89,45487,68154,76115,81754,2010,177679
전라남도,47,518,12,86134,15944,258,515,0,257089,567,2010,127923
경상북도,23,380,16,87872,14694,188,0,0,23587,9991,2010,88669
경상남도,18,1417,20,331670,65702,320,201743,78953,293469,118859,2010,316885
제주특별자치도,7,275,10,66307,8968,97,399,0,50680,59516,2010,69257
서울특별시,5,2898,24,741018,59348,311,1141584,866,350827,7587,2011,401410
부산광역시,3,840,24,258970,14780,108,303688,0,209893,24641,2011,111018
대구광역시,1,480,24,130741,7633,46,159006,4727,66146,49605,2011,72018
인천광역시,3,945,16,255265,16755,75,150465,1212,3200,17677,2011,215991
광주광역시,1,400,19,85679,6870,49,40978,0,21993,97228,2011,74300
대전광역시,1,400,24,103227,7962,40,171091,0,70093,0,2011,70613
울산광역시,1,400,24,105707,8307,49,92227,0,49061,52196,2011,61552
세종특별자치시,0,0,0,0,0,0,0,0,0,0,2011,0
경기도,23,5005,22,1096617,105358,802,1227281,54426,792537,247862,2011,1280513
강원도,14,355,19,77536,13688,169,1089,0,48270,13467,2011,87227
충청북도,9,465,19,108830,14191,136,87013,5666,93243,52110,2011,163172
충청남도,13,766,22,185556,28462,243,113643,0,86175,0,2011,239023
전라북도,2,600,24,152561,7200,93,15103,233432,55018,106666,2011,177679
전라남도,49,497,11,106931,16812,300,44291,0,254053,628,2011,158061
경상북도,23,565,18,151313,21580,235,0,4606,23301,15109,2011,170033
경상남도,19,1427,21,333820,43968,410,254460,62939,249625,65645,2011,326615
제주특별자치도,6,275,10,69970,9449,97,1029,0,55101,59496,2011,68857
서울특별시,5,2898,24,838821,59859,311,1165401,866,397803,7587,2012,401410
부산광역시,3,840,24,259469,14760,108,290683,0,229686,24125,2012,111018
대구광역시,1,480,24,136477,8171,48,173837,2054,69931,37910,2012,72018
인천광역시,9,957,11,270802,15738,78,180003,95608,309514,13711,2012,220161
광주광역시,1,320,24,85035,5209,46,37080,0,23475,102410,2012,74300
대전광역시,1,400,24,104147,6310,41,174191,0,48873,0,2012,70613
울산광역시,2,650,24,122733,8685,56,114241,0,73252,10124,2012,133500
세종특별자치시,1,45,24,13506,1529,16,0,0,20763,0,2012,31350
경기도,24,5130,23,1138641,109294,909,1325710,41935,795999,266772,2012,1332275
강원도,16,576,20,150333,20030,225,2853,31,69716,25361,2012,109060
충청북도,10,499,19,136353,16684,167,95430,5947,173038,9505,2012,179185
충청남도,10,685,23,194865,28506,244,185015,0,125939,0,2012,205127
전라북도,2,600,21,149453,10280,94,29955,285307,39124,110685,2012,76668
전라남도,51,500,11,106922,17199,321,44196,0,181222,628,2012,159725
경상북도,24,765,18,171634,20711,281,11,46898,59264,67966,2012,230962
경상남도,17,1582,23,388304,47713,447,789524,72990,576744,123815,2012,419345
제주특별자치도,7,279,10,70074,9476,99,1753,0,36747,61622,2012,70157
서울특별시,5,2898,24,794528,60290,312,1080207,0,257621,0,2013,401410
부산광역시,2,510,24,172664,9735,67,216503,0,152005,10938,2013,89540
대구광역시,1,480,24,135534,8469,51,125888,6275,58733,55290,2013,72018
인천광역시,10,982,10,270802,15934,80,180003,95608,309514,13711,2013,226807
광주광역시,1,320,24,88301,5030,48,22017,0,35401,105933,2013,74300
대전광역시,1,400,24,105694,6766,41,163791,0,43502,0,2013,70613
울산광역시,2,650,24,122733,8685,56,186180,0,82555,311,2013,133500
세종특별자치시,1,45,24,14514,1874,16,0,0,20763,0,2013,31350
경기도,24,5014,24,1126413,119845,988,1369153,38344,798459,197921,2013,1380082
강원도,16,582,21,157409,21048,249,2792,23140,96487,78880,2013,174202
충청북도,10,499,20,154858,16810,169,97170,6895,149750,10546,2013,179185
충청남도,9,660,23,202038,27027,231,187711,0,103492,0,2013,197227
전라북도,2,600,21,158420,8774,94,32206,236197,39162,114337,2013,66390
전라남도,51,495,11,94479,17870,304,47788,0,182272,1036,2013,152525
경상북도,22,739,19,175673,24143,262,1931,180453,67636,63957,2013,239406
경상남도,18,1587,22,362828,49918,439,139363,196937,253854,169801,2013,338870
제주특별자치도,7,277,10,63009,9431,98,0,0,0,0,2013,70157
서울특별시,4,1998,24,514466,42034,241,598743,0,194174,33369,2014,300330
부산광역시,2,510,24,153269,14941,66,216729,0,123244,8443,2014,89540
대구광역시,1,480,24,135534,8469,51,173837,2054,69931,37910,2014,72018
인천광역시,11,1797,12,528056,31819,158,411305,111073,587710,74170,2014,429310
광주광역시,1,320,24,88122,5030,47,20852,0,31688,108887,2014,74300
대전광역시,1,400,24,101300,6766,41,162756,0,65856,0,2014,70613
울산광역시,2,650,22,189552,12054,66,204818,0,95110,31200,2014,134443
세종특별자치시,1,45,24,13217,2148,17,0,0,2233,20094,2014,26274
경기도,26,5114,24,1215225,133188,973,1447971,42906,866006,191336,2014,1473164
강원도,16,582,21,159762,20149,243,2791,28775,88284,92100,2014,172868
충청북도,10,499,20,149270,19479,170,97170,6938,159871,19803,2014,179467
충청남도,9,660,23,206572,29047,232,194259,0,97751,0,2014,197227
전라북도,2,600,22,148723,9974,96,29365,270258,39636,115080,2014,66390
전라남도,53,496,11,118934,20020,320,51150,0,188710,8093,2014,163009
경상북도,20,739,19,207659,24481,274,19614,128889,67893,31896,2014,242362
경상남도,18,1601,23,396982,54794,489,246775,110395,304909,184603,2014,346924
제주특별자치도,7,278,10,68319,10959,97,0,0,46197,87952,2014,70157
서울특별시,5,2898,24,763049,59064,316,1245593,18463,329980,22386,2015,401410
부산광역시,2,510,24,155897,14249,66,210969,0,129919,9755,2015,89540
대구광역시,1,480,24,132119,8823,51,162965,630,47542,33171,2015,72018
인천광역시,9,877,11,268355,16410,89,265615,86355,199797,59757,2015,219965
광주광역시,1,320,24,86937,6250,46,20095,0,36450,104017,2015,74300
대전광역시,1,320,24,96790,9462,42,161764,0,58371,0,2015,70613
울산광역시,2,650,21,187149,9818,66,179411,0,108473,36801,2015,134443
세종특별자치시,1,45,24,12358,2400,20,1655,0,293,17535,2015,31350
경기도,26,5164,24,1299861,139006,1057,1492203,45980,988716,293320,2015,1469229
강원도,15,570,22,162556,21584,237,19371,42110,59661,87728,2015,173012
충청북도,10,709,20,182299,16138,196,101494,5428,157900,294887,2015,236680
충청남도,11,885,24,244524,26221,227,263250,0,158947,0,2015,235812
전라북도,2,600,24,146731,11424,93,82959,33371,113860,56396,2015,66390
전라남도,56,501,11,119037,22274,347,51216,0,47490,9467,2015,168890
경상북도,20,837,20,229955,24407,329,19636,70816,33735,56663,2015,293337
경상남도,17,1594,24,425024,45674,468,236903,113422,283615,212095,2015,342526
제주특별자치도,7,278,10,69765,11659,103,233,0,38084,91543,2015,70157
서울특별시,5,2898,24,749648,59064,316,1254401,17246,313095,21820,2016,401410
부산광역시,2,510,24,151202,15898,69,207900,0,119407,9313,2016,89540
대구광역시,1,480,24,114857,8987,51,137847,3411,25381,97402,2016,72018
인천광역시,9,877,11,265832,17072,90,284888,67766,254997,0,2016,221772
광주광역시,1,320,24,71003,4821,40,22799,0,24814,82223,2016,74300
대전광역시,1,320,24,98146,8815,41,177878,0,59354,0,2016,70613
울산광역시,2,650,21,184790,8918,66,191874,0,106110,33017,2016,134443
세종특별자치시,1,45,24,12124,2754,20,1822,0,307,19159,2016,31350
경기도,27,5304,24,1349194,155894,1078,1580360,33337,1025554,203659,2016,1499866
강원도,15,578,23,160249,20922,234,0,35119,39359,97024,2016,174089
충청북도,10,709,20,216085,20242,195,152046,6045,233855,25076,2016,236680
충청남도,11,1081,24,325939,27002,231,296867,0,240780,0,2016,248059
전라북도,2,600,24,142662,12544,96,237302,23429,213475,50324,2016,66390
전라남도,56,502,11,118575,23467,340,45132,0,54261,8173,2016,169567
경상북도,18,837,21,240669,29569,317,20262,59335,29772,41861,2016,298697
경상남도,18,1594,24,431306,55223,467,257718,114109,260062,204755,2016,446890
제주특별자치도,5,276,13,20130,14851,101,3600,2,16949,62901,2016,69380
서울특별시,5,2898,24,732645,59064,316,1187201,13985,329043,19589,2017,401410
부산광역시,2,510,24,155142,15898,74,228135,0,108819,9554,2017,89540
대구광역시,1,480,24,90074,7218,44,142511,2102,31274,20725,2017,72018
인천광역시,9,878,10,287702,22687,76,332504,39072,202222,0,2017,221772
광주광역시,0,0,0,0,0,0,0,0,0,0,2017,0
대전광역시,1,320,24,92569,9278,41,179940,0,54933,0,2017,70478
울산광역시,1,650,21,177998,10387,66,177384,0,143739,17673,2017,134443
세종특별자치시,1,45,24,12602,2290,21,0,0,21616,0,2017,31350
경기도,26,5084,24,1325004,158909,1077,1676604,33992,1089036,317257,2017,1425911
강원도,15,576,23,153847,20988,239,0,35387,47151,94224,2017,173012
충청북도,10,709,21,216200,26881,251,178815,9,241153,34359,2017,236890
충청남도,10,1081,24,323025,29266,220,311608,0,176556,0,2017,248059
전라북도,3,601,24,145575,13431,102,217041,104647,111570,0,2017,101972
전라남도,54,502,11,119192,24905,352,39146,0,65210,340,2017,169567
경상북도,18,830,21,240356,30558,322,21416,47975,115038,229082,2017,295035
경상남도,17,1554,24,429153,55510,468,266136,114323,220164,191824,2017,446889
제주특별자치도,5,276,14,65942,19958,108,426,15,31942,82901,2017,69380
서울특별시,5,2898,24,745654,66668,315,1223629,15701,328208,21667,2018,401410
부산광역시,2,510,24,155101,13839,74,252026,0,86736,9236,2018,89540
대구광역시,1,480,24,89394,8048,48,131554,2279,30402,30277,2018,72018
인천광역시,9,998,10,269884,22548,106,322711,17578,222585,12572,2018,221772
광주광역시,0,0,0,0,0,0,0,0,0,0,2018,0
대전광역시,1,320,24,88599,9624,42,166346,0,62172,0,2018,70478
울산광역시,1,650,24,179823,7678,66,182429,0,186515,8551,2018,134443
세종특별자치시,1,45,24,12986,2916,21,0,0,23604,0,2018,31350
경기도,26,5084,24,1297414,168791,1075,1607230,48941,1077655,287639,2018,1422867
강원도,15,577,23,147062,23018,225,0,118205,17032,64286,2018,173012
충청북도,11,709,21,213730,23279,209,180303,5151,219699,34257,2018,236890
충청남도,10,1081,24,319475,29092,225,292118,0,198579,0,2018,248059
전라북도,3,612,24,166028,13531,100,131526,0,137922,0,2018,101972
전라남도,53,500,11,120839,23560,347,41003,0,69274,263,2018,166749
경상북도,18,830,21,251101,36342,301,20107,105872,111752,188254,2018,285559
경상남도,17,1554,24,439041,62173,469,301754,92579,263269,181985,2018,447653
제주특별자치도,5,276,14,67025,16762,112,776,12,26383,86377,2018,69380
서울특별시,5,2898,24,713757,66693,315,1174613,13418,328638,19180,2019,403926
부산광역시,2,510,24,156891,13837,68,244982,0,88784,0,2019,89540
대구광역시,1,480,24,81294,9081,49,100591,2477,41124,25046,2019,72018
인천광역시,9,997,10,237647,27308,57,123995,15258,126203,0,2019,221430
광주광역시,0,0,0,0,0,0,0,0,0,0,2019,0
대전광역시,1,320,19,82359,10491,42,159705,0,62981,0,2019,70478
울산광역시,1,950,24,276165,11625,90,181510,0,118205,87000,2019,164604
세종특별자치시,1,45,24,12468,2468,22,0,0,23177,0,2019,31350
경기도,27,5290,23,1303190,192531,1157,1857502,30045,1098394,2151151,2019,1493943
강원도,15,606,23,162649,27340,262,4477,25561,68127,42144,2019,191727
충청북도,10,741,22,219889,25751,227,197376,4051,225192,21713,2019,251799
충청남도,11,1111,24,317772,53269,258,272962,18881,249330,11292,2019,261086
전라북도,3,612,24,141304,14863,102,141275,34142,152346,50983,2019,101972
전라남도,53,503,11,129952,26437,358,44184,0,63095,8952,2019,175210
경상북도,18,1215,22,230654,42191,345,18823,134698,119924,151872,2019,466700
경상남도,17,1554,24,443735,64751,479,268391,136895,233637,106492,2019,521553
제주특별자치도,6,776,15,89891,27028,167,649,51834,47080,81339,2019,213472
